player,referrer,source
0x59afc6f2c02a84273298ea14c71534b8b9ea4332,0x798b550766e9e708eafcd2b21c596453e3eb7256,file2
0x5a0d6a490c0551ede443cc4211c8153cf4c33238,0x0c19efa24be4a778a0780c79a8fe521a7b2740ce,file2
0x5a89a3ffe3b4ef2a3cde621c8c464ecbe4240b50,0xd82828e55a100637fb8c98a274c304ae87d29432,file1-v4
0x5bec66f2178f941df9a94ee0a78cde48e331e324,0xdc616aa8afab3d82f39dbf56864cd4940ad31905,file2
0x5c32fc9ee7b5af511b5af1138e54fc454b5c5c00,0x798b550766e9e708eafcd2b21c596453e3eb7256,file2
0x5c6ef2b909053468443e45e5c3eacb1827fbd4e2,0x6567d3ef069779704d8e799c0f31638e72e48dd4,file2
0x5de0e68633b96d9ffd1d187863400238747860ac,0xe43c6d8a9674c5c3f8e97bea99197a076ce64ecd,file1-v4
0x5e05555532c04eae24b25191b7d5b4269f0f0ffe,0xe43c6d8a9674c5c3f8e97bea99197a076ce64ecd,file1-v4
0x5ecf418a8ab1e327310771fcc8819fdc8b27d6b4,0x9f157d563fbf376f90fe8b3452507649a2d6a38f,file2
0x5ee14ad58471186540bb494fb0d309327bff0fde,0x9545997091e07b5696477d18a2ee9e7c75a3b3b9,file1-v4
0x60d5f38bf3de0c8f10356c7c47c4b9ad2afebb77,0x222550d049a3834f6f4300c3946480f158846d5e,file1-v4
0x6109ea30a4557d42eeb405f43b38ae8e8850edcb,0x30ee171af6a576499ff0170e59031f7744564535,file2
0x6196ad1b23740c3dfe4b3bc773215952653c9d21,0xc9bfc3383c329d4903de9d4822edb330ddd65184,file1-v4
0x61b64bb228ccd24baaa5a0b60fc611e241f19b8d,0xdc616aa8afab3d82f39dbf56864cd4940ad31905,file2
0x61f0fdb65d93088c20e24723608a029d3d80959f,0x45691f334bf9871a143d284c4c7dcbe8601c8eb6,file1-v4
0x62f5f969e5329e91bbc959bf3c6896b20b7fa0ba,0x65fa6c8a95fa431fbd9c5c9e8a3025b23ac50dec,file2
0x630d9a06a38009da2040efc152d8800a8b3be35d,0xa23faaa3e84cda4b97e754c05d2e3020f50dc3ed,file2
0x637cec1093b3acc7fe5a65b1fb0e99a965a7c6fd,0x798b550766e9e708eafcd2b21c596453e3eb7256,file2
0x6447c48373c1af270999ceaae85ff59a72bb325f,0x8e7fe7f66f30da63bf73e6c066d161102a398b19,file2
0x651337c38b62c282d351bcdec270c820a7c89840,0xae703fd67e101942465401bebe2c7d51fbd2f2d6,file1-v4
0x6530ae82c0c12c52011d376a20d39798c9c0cb99,0x798b550766e9e708eafcd2b21c596453e3eb7256,file2
0x6567d3ef069779704d8e799c0f31638e72e48dd4,0x5ee14ad58471186540bb494fb0d309327bff0fde,file2
0x65fa6c8a95fa431fbd9c5c9e8a3025b23ac50dec,0x9545997091e07b5696477d18a2ee9e7c75a3b3b9,file1-v4
0x6694be6cb2eb777a786ee9c97349d7007ec6559e,0xae703fd67e101942465401bebe2c7d51fbd2f2d6,file1-v4
0x66a2dcb87acb701cfb2d42e84dbe11d8f6c33c3a,0xc415688a2e908c0b296c037670be363199c50817,file2
0x67e6e2b68f52ea3bd5aec2bdf98d72b624ed3920,0x5ee14ad58471186540bb494fb0d309327bff0fde,file2
0x6933a863e4d13b467aac698aabeb918a370af19b,0xb55b122495aecc8da5aee034e93367afa833ac72,file2
0x69526f156805f1955e52d7b8f2574d99247dc227,0xaefd53a5a1e1743d4972229f5ffdb90d66c0d6a2,file2
0x697805b0fee164a2ecd4a4e480d574a12c86f2d6,0x7cd608f8509f870669f8f73390815058bd2c85e0,file2
0x69dec6b4c817f9ddaffec321c21917d2a83896fe,0x222550d049a3834f6f4300c3946480f158846d5e,file1-v4
0x6b2151169b720b9479cf74c37306733d15e71c40,0x3dbae5950213a895045bf031b05b10457f33963e,file2
0x6b49c96cabc1dba252c790531e75ad5d5c41808f,0xeaef0d634a43723f4304790538ebc14a7d5cfa0c,file1-v4
0x6b76f3b67dbbf9ee14dac2ea066508500a8c90fd,0x26b054e8e329b9e0789dffaf63208ced4e922419,file2
0x6b8fcc54d43466933dc45fdd0733c4f5882bdb7d,0xe9fade45e618e11bd38a73803fb84e46a0cd6c62,file1-v4
0x6ba7fe2588b6be893faaa8f3dd4b94cb2a04af87,0x8e7fe7f66f30da63bf73e6c066d161102a398b19,file2
0x6bb81ab0fa1cc099c0334372b2a00e1800def7d2,0x8e7fe7f66f30da63bf73e6c066d161102a398b19,file2
0x6c2f96ec346f5b63a006262b1dce72c60acdfc7d,0x222550d049a3834f6f4300c3946480f158846d5e,file1-v4
0x6df006bcda556fb3a42ad53b0ca95ba2b3dcd1c2,0x5ee14ad58471186540bb494fb0d309327bff0fde,file2
